name,bg_img_link,mark,category,rating,price,address,role,city,int_price
Woodapple Residency,https://cdn.venuelook.com/uploads/space_2877/1646029156_204x158.png,"Karkardooma, Delhi",banquet-halls,4.8,Rs. 699 price per plat,"Near Karkarduma Court Metro Station,
Everything that attracts a traveler to an Indian home, the warmth, hospitality, affection of its hosts and the charm of it allâ¦ everything is to be found in Wood Apple Residancy, it awaits your abode.It is a fusion of luxury, pleasure, enjoyment and memorable experience to cherish for. We believe in the concept of accessibility. Our location is our USP. Itâs just in the heart of East Delhi on Vikas Marg - minutes away from Patparganj Industrial Area; within a stone's throw from the Anand Vihar bus terminal & railway station. 100 m from Karkardooma Metro Station & 2 km from the famous Akshardham Temple. Further, located adjacent to the Nature's Basket, Indiaâs premier organic food store, makes Woodapple an ideal place to stay for our guests. Situated on the busiest roads of Delhi, we make sure that once you enter our premises we induce tranquillity & calmness, giving you the feel of natural ambience with soothing music, greenery & smiling faces while being at the centre of the busiest town of the capital of India. .",NONE,delhi,699
Venizia Sarovar Portico,https://cdn.venuelook.com/uploads/space_1824/1707891791_204x158.png,"Model Town, Delhi",banquet-halls,4.9,Rs. 1000 price per plat,"Aesthetically designed amidst the lush greenry in North Delhi, directly connected to ITO and Pragati Maidan, directly connected to ITO and Pragati Maidan, Grand Venezia hosts a bouquet of facilities to offer you an inspiring free MICE experience. The facilities include a multi purpose Business Centre along with Atrium Lobby to offer you the SPACE to host you Executive and Business meetings.",Royal Hall,delhi,1000
Luxera Hotels Banquets Convention & Catering,https://cdn.venuelook.com/uploads/space_25396/1689066467_204x158.png,"Mg Road, Delhi",banquet-halls,4.6,Rs. 1800 price per plat,"Near Ambience Mall Mall,
Luxera Hotels Banquets Convention & Catering, the ideal destination for luxury weddings is located at MG road, Delhi. At Luxera Hotels Banquets Convention & CateringÂ we leave no stone unturned to provide class-apart event management services. With our stunning indoor and outdoor decor, spectacular culinary creations for an artistic event experience, and all of it packed with supremely deluxe amenities, make us the one-stop solution for your perfect fairy tale wedding.Luxera Hotels Banquets Convention & CateringÂ is the right place if you are looking for a venue where you can host all your pre-wedding and wedding ceremonies. You can make it your home away from home for your wedding and have a great time with your family and friends. It is one of the few places in Delhi NCR that can accommodate all your needs including space and facilities.Luxera Hotels Banquets Convention & CateringÂ features Six different party areas including a Signature Lawn for big fat Indian weddings. For smaller gatherings, you can move to the indoor area called the Iris Hall. Signature Lawn It is all outdoors and like its name, it is decorated like a royal place. Signature LawnÂ will be more suitable for haldi, mehendi, teeka, and other pre-wedding rituals. The outdoor setting will provide comfort and create a decent background for photography.",Iris Hall Ground,delhi,1800
Tivoli Grand,https://cdn.venuelook.com/uploads/space_165/1630066296_204x158.png,"Gt Karnal Road, Delhi",banquet-halls,4.7,Rs. 1800 price per plat,"Near TDI Mall Kundli Mall,
The Royal Ballroom is the paramount venue for your most significant events.
Whether it is a personal or a business event, the hall is bound to sweep you and your guests, off their feet with its impressive charming ambience.
Your occasion,as well as yourself,are our supreme priority, therefore, our assistance with regards to the customization and personalization of the dÃ©cor and setting, is what sets us apart from others. Moreover, the rooms are equipped with an array of facilities to make sure you and your guests enjoy the event to the most. Of course, it goes without saying that our relentless endeavors would turn your event into a grand success.",The Royal Ballroom,delhi,1800
Calista Resort Delhi,https://cdn.venuelook.com/uploads/space_9254/1719320359_204x158.png,"Kapashera, Delhi",banquet-halls,4.8,Rs. 2500 price per plat,"Near Ambience Mall Mall,
Calista Resort, Kapashera, Delhi has hosted many successful events like wedding ceremonies, engagement functions, reception nights and many more. It is well-known for the unmatched customer service and modern facilities. Its professional chefs will set up multiple buffet counters with delicious appetizers, tasty main courses and yummy desserts. Calista Resort also gives you an opportunity to decorate the place the way you want as they have an in-house team especially meant for this job.",The Ball Room,delhi,2500
Hotel Amara,https://cdn.venuelook.com/uploads/space_1176/1649661016_204x158.png,"Greater Kailash, Delhi",banquet-halls,4.4,Rs. 1000 price per plat,"Near Epicuria Mall,
A comfortable deluxe hotel in New Delhi, Amara Hotel is established with an objective to offer discerning and budget minded travelers a quiet, comfortable and homely place to stay in the heart of the city. The Amara is a budget property providing the best hotel standards and a preferred hotel accommodation for corporate CEO's and travelers as well as foreign and domestic tourists.
Conference rooms at Amara Hotel are well equipped with all the modern facilities like high speed internet, Audio & Video conferencing necessary for corporate meetings & events. Conference rooms are designed to host residential and non-residential conferences with wide area for team building activities. We also cater for the social functions with customized and value added menus.",NONE,delhi,1000
The Golden Palms,https://cdn.venuelook.com/uploads/space_7353/1708930873_204x158.png,"Patparganj, Delhi",banquet-halls,4.0,Rs. 1399 price per plat,"Near Anand Vihar Metro Station,
The Golden Palms Hotel & Spa, Delhi is a hotel with a vision of excellence based on attention to detail and maximum efficiency. The city is called The Metro City because of its beautiful Malls, flowers which flourish. Delhi is quite simply the undisputed garden city of India. This hotel was designed with intimate surroundings, signature of elegance to experience true rejuvenation and genuine services.",Nirvana,delhi,1399
Luxera Hotels Banquets Convention & Catering,https://cdn.venuelook.com/uploads/space_25398/1696319650_204x158.png,"Mg Road, Delhi",banquet-halls,4.6,Rs. 1800 price per plat,"Near Ambience Mall Mall,
Luxera Hotels Banquets Convention & Catering, the ideal destination for luxury weddings is located at MG road, Delhi. At Luxera Hotels Banquets Convention & CateringÂ we leave no stone unturned to provide class-apart event management services. With our stunning indoor and outdoor decor, spectacular culinary creations for an artistic event experience, and all of it packed with supremely deluxe amenities, make us the one-stop solution for your perfect fairy tale wedding.Luxera Hotels Banquets Convention & CateringÂ is the right place if you are looking for a venue where you can host all your pre-wedding and wedding ceremonies. You can make it your home away from home for your wedding and have a great time with your family and friends. It is one of the few places in Delhi NCR that can accommodate all your needs including space and facilities.Luxera Hotels Banquets Convention & CateringÂ features Six different party areas including a Signature Lawn for big fat Indian weddings. For smaller gatherings, you can move to the indoor area called the Iris Hall. Signature Lawn It is all outdoors and like its name, it is decorated like a royal place. Signature LawnÂ will be more suitable for haldi, mehendi, teeka, and other pre-wedding rituals. The outdoor setting will provide comfort and create a decent background for photography.",Glass House & Lawn,delhi,1800
The Orion Greater Kailash,https://cdn.venuelook.com/uploads/space_26519/1617877289_204x158.png,"Greater Kailash, Delhi",banquet-halls,4.5,Rs. 899 price per plat,"Near Select Citywalk Mall,
The Orion Greater Kailash, Greater Kailash, Delhi is located situated amongst the cozy locales of the Greater Kailash Road area, which makes it a perfect destination for your corporate events, weddings, and pious ceremonies. The banquet halls are so beautifully serenaded with glorious ambiance and magnificent dÃÂ©cor which is guaranteed to provide you with a memorable time of your lives. The Orion Greater Kailash has an inviting and contemporary ambiance, which makes your guests feel welcomed. It has luxurious rooms for your invitees which gives them a comfortable stay. The Orion Greater Kailash has a banquet hall that is ideal for having an intimate and medium-sized function.ÃÂ The Orion Greater Kailash, Delhi also offers you a conference room for conducting meetings and seminars. Talented decorators from the venue ensure you a magical day by creating theme-based decorations. You can either opt for vegetarian or non-vegetarian cuisines depending on your culinary preference. The venue ensures you impeccable service along with very friendly and courteous staff for your comfort. This venue has ample parking space and provided valet parking facilities to guests arriving at the venue in their personal vehicles.",Banquet,delhi,899
Evora Banquet & Hotel,https://cdn.venuelook.com/uploads/space_30904/1712661641_204x158.png,"Lawrence Road, Delhi",banquet-halls,4.1,Rs. 1000 price per plat,"Near Pacific Mall Mall,
EVORA Banquet & HotelÂ is a wonderful venue located in Lawrence Road which is situated in the city of Delhi. Offering a wide range of services and amenities of your wedding-related functions and events, it is the choice to make with regards to finding a wedding venue for your grand occasion. The venue is one of the main components of a wedding and it should be immaculate to organise out the wedding perfectly. Be it a pre-wedding ceremony or the fantastic wedding reception and party, EVORA Banquet & HotelÂ can host any occasion in its extensive banquet space and is one such venue which can have an amazing wedding which is memorable and grand for you and your guests.The banquet hall is structured with stunning interiors and has lovely contemporary and traditional settings to add up to your wedding gleam. Other than this, they additionally offer facilities like furniture, basic lighting, power, and backup for your benefit. They have glorious decor ideas and settings which are perfect for each of your pre-wedding, wedding and post-wedding functions and will make a dazzling ambience for you to take your wedding vows in.Â Â",Ground Floor Banquet,delhi,1000
